,created_at,text,source,id,retweet_count,reply_count,like_count,quote_count,author_id,name,followers_count,following_count,tweet_count,listed_count,username
0,2021-10-10T13:48:44.000Z,RT @JRTouch: Complaints on STOCK Act violations stack up against members of Congress https://t.co/o9jboOirjg #FoxBusiness,Twitter for iPhone,273130889,1,0,0,0,273130889,scott,804,1460,20740,6,radioscottie
1,2021-10-10T13:48:43.000Z,When execute I sell? Endgame Tactics &amp; Squeeze exit systems w/ @Trey’s Trades Is $500k a meme? https://t.co/qqFU59C3f3,WordPress.com,1441167871283916805,0,0,0,0,1441167871283916805,StockMarketLeakz,180,288,2739,0,StockLeakz
2,2021-10-10T13:48:43.000Z,RT @pedoqpop: Mengigil gigil air asia topup stock megi nak jual rm8 time dalam flight,Twitter for Android,373821694,515,0,0,0,373821694,Baistra Zeneca,646,580,102971,6,bai_kaizan
3,2021-10-10T13:48:42.000Z,"@ryuzakei layout anime ready stock 12k/ea ava png only ya! bisa q ris juga loh!  chifuyu sold 🤩
https://t.co/g4zexPbP6G",Twitter for Android,1413067968884338689,0,0,0,0,1413067968884338689,taby lagi nunggu req dm,566,596,2567,3,fmlawless
4,2021-10-10T13:48:41.000Z,LOU VS WALL STREET CANCELS APES BECAUSE IT WAS CREATED BY TREYS TRADES….WHY?? AND AFTER AMC… https://t.co/K5Srlkv5Jf,WordPress.com,1441167871283916805,0,0,0,0,1441167871283916805,StockMarketLeakz,180,288,2739,0,StockLeakz
5,2021-10-10T13:48:40.000Z,RT @Rothbard1776: I’m glad US taxpayers bailed out horribly managed airlines who blew all of their profits on stock buybacks and then turne…,Twitter for iPhone,48891295,2361,0,0,0,48891295,Keith Wynn,1874,4676,12715,0,keithgatorman
6,2021-10-10T13:48:40.000Z,MDOSNSOS aku beneran candu panadol sepertinya mari kita stock esok,Twitter for iPhone,1440155063771484166,0,0,0,0,1440155063771484166,angel,89,108,4011,0,sgurugt
7,2021-10-10T13:48:40.000Z,What Occurs if AMC Squeezes For the length of Pre-Market or After-Hours? https://t.co/NNvhOgIQbm,WordPress.com,1441167871283916805,0,0,0,0,1441167871283916805,StockMarketLeakz,180,288,2739,0,StockLeakz
8,2021-10-10T13:48:39.000Z,"RT @Siroos_: Stock icons! I made the fatalis one, but my initial pass on the Rathalos ones didn't follow the style very well so a friend ma…",Twitter for Android,1350917835363647493,5,0,0,0,1350917835363647493,Yago COMMISIONS CLOSED,510,100,2145,1,yagoilustra
9,2021-10-10T13:48:39.000Z,"RT @MatHempell: Hi @stonewalluk, I would also like to know if you've condemned the threats to Professor Stock yet?",Twitter Web App,1346092701930967040,1,0,0,0,1346092701930967040,ɥɔıᴚ,234,185,20266,1,autopaxman
10,2021-10-10T13:48:38.000Z,RT @ANI: Ministry of Coal reassures that ample coal is available in the country to meet the demand of power plants. Any fear of disruption…,Twitter for Android,2878352642,536,0,0,0,2878352642,Ms. Purna/Otun🚩🇮🇳💕,1827,1710,173771,3,sinhapurna13
11,2021-10-10T13:48:37.000Z,"RT @AtticumFloreat: PHOTO OF THE DAY. Students at @SussexUni in actual fear for their lives, take cover in a trench as Professor Kathleen S…",Twitter for iPhone,2471291252,59,0,0,0,2471291252,Adrian,28,255,5286,0,AdrianUK48
12,2021-10-10T13:48:37.000Z,RT @Rothbard1776: I’m glad US taxpayers bailed out horribly managed airlines who blew all of their profits on stock buybacks and then turne…,Twitter for iPhone,242139557,2361,0,0,0,242139557,CBP1 🌵🇺🇸 🌻,165,2074,2425,0,AZCBP
13,2021-10-10T13:48:37.000Z,"RT @JagranNews: केंद्रीय मंत्री बोले, बिजली आपूर्ति बाधित होने का खतरा बिल्कुल नहीं, पर्याप्त मात्रा में मौजूद है कोयले का स्टाक

@JoshiPra…",Twitter for Android,2653016426,9,0,0,0,2653016426,PRASHANT KASHYAP,1211,323,572300,11,prashantarchu
