,created_at,author_id,name,profile_image_url,public_metrics_followers_count,public_metrics_following_count,public_metrics_listed_count,public_metrics_tweet_count,url,username,entities_url_urls,location,pinned_tweet_id,entities_description_hashtags,entities_description_mentions,entities_description_urls
0,2021-06-19T13:21:23.000Z,1406239100613574665,Mama Bear Mentors,https://pbs.twimg.com/profile_images/1437500537503617024/N72CV_vj_normal.jpg,883,26,0,81,,mamabearmentors,,,,,,
1,2021-03-05T23:46:37.000Z,1367984738753900546,Forex Trench Soldier,https://pbs.twimg.com/profile_images/1368314427158634497/63an-u4X_normal.jpg,24,117,0,216,https://t.co/KfNDMROWqJ,ForexJourneyman,"[{'display_url': 'myfxbook.com/members/Martin…', 'end': 23, 'expanded_url': 'https://www.myfxbook.com/members/Martin_Baker', 'start': 0, 'url': 'https://t.co/KfNDMROWqJ'}]",Sevastopol Station,1447794307428020228,,,
2,2013-07-22T12:15:48.000Z,1612686216,M.Ec. Nenad Kerkez T,https://pbs.twimg.com/profile_images/948182221676007424/z6OI3BCs_normal.jpg,10824,597,274,24294,,TarantulaFX,,,1243270033096224770,"[{'end': 117, 'start': 114, 'tag': 'FX'}, {'end': 127, 'start': 119, 'tag': 'Indices'}, {'end': 141, 'start': 129, 'tag': 'Commodities'}]","[{'end': 26, 'start': 11, 'username': 'elitecurrensea'}]","[{'display_url': 'bit.ly/BWNKT', 'end': 86, 'expanded_url': 'http://bit.ly/BWNKT', 'start': 63, 'url': 'https://t.co/LlAGUKwrQv'}]"
3,2009-02-01T08:46:49.000Z,19851429,David Doughty,https://pbs.twimg.com/profile_images/1296135145/dd_oep_normal.jpg,71251,74409,1175,143740,http://t.co/9xVGC17LQb,daviddoughty,"[{'display_url': 'david-doughty.com', 'end': 22, 'expanded_url': 'http://david-doughty.com', 'start': 0, 'url': 'http://t.co/9xVGC17LQb'}]",Oxford,496971711691366400,"[{'end': 118, 'start': 110, 'tag': 'CorpGov'}, {'end': 127, 'start': 119, 'tag': 'RegTech'}, {'end': 136, 'start': 128, 'tag': 'FinTech'}, {'end': 141, 'start': 137, 'tag': 'ESG'}, {'end': 157, 'start': 142, 'tag': 'Sustainability'}]",,
4,2008-03-24T10:30:05.000Z,14206585,Saurav Mukherjee,https://pbs.twimg.com/profile_images/1232517314899144704/T8edmM5o_normal.jpg,813,1022,746,9281,https://t.co/RGn7LdVctL,LeoCynosure,"[{'display_url': 'podorca.com', 'end': 23, 'expanded_url': 'http://www.podorca.com', 'start': 0, 'url': 'https://t.co/RGn7LdVctL'}]","Singapore, USA, India",1105257192507260933,,,
5,2007-11-13T21:43:46.000Z,10228272,YouTube,https://pbs.twimg.com/profile_images/1427292844612595720/RC1YSvuT_normal.jpg,73511267,1202,79536,37578,https://t.co/kjUK7E8YAQ,YouTube,"[{'display_url': 'youtube.com/shorts/H12Swqw…', 'end': 23, 'expanded_url': 'https://www.youtube.com/shorts/H12SwqwR2NE', 'start': 0, 'url': 'https://t.co/kjUK7E8YAQ'}]","San Bruno, CA",,"[{'end': 14, 'start': 0, 'tag': 'YouTubeShorts'}]",,
6,2021-03-13T07:22:52.000Z,1370636406008123393,TrustworthyInfluencer,https://pbs.twimg.com/profile_images/1370640302822727681/KdgsKpzq_normal.jpg,20,57,0,357,https://t.co/qREe4GI6hg,TrustworthyInf1,"[{'display_url': 'saurav8e.com', 'end': 23, 'expanded_url': 'http://www.saurav8e.com', 'start': 0, 'url': 'https://t.co/qREe4GI6hg'}]",Global,1371753373255487488,,,"[{'display_url': 'podorca.com', 'end': 109, 'expanded_url': 'http://www.podorca.com', 'start': 86, 'url': 'https://t.co/otXUkisexW'}]"
7,2016-04-23T23:13:57.000Z,724013469901590531,"Macro-Momentum Trader, CMT",https://pbs.twimg.com/profile_images/1229877939862290433/i91JJm-w_normal.jpg,1617,685,50,5304,,supercatmy,,Asia,1447261403656581120,,,"[{'display_url': 'buymeacoffee.com/Supercatmy', 'end': 80, 'expanded_url': 'http://buymeacoffee.com/Supercatmy', 'start': 57, 'url': 'https://t.co/Zwg0LUeE8y'}]"
8,2015-07-26T14:40:19.000Z,3295423333,First Squawk,https://pbs.twimg.com/profile_images/1039778545738964992/6fl6RNN0_normal.jpg,176668,223,3574,85462,https://t.co/YiUNSf4N1t,FirstSquawk,"[{'display_url': 'firstsquawk.com', 'end': 23, 'expanded_url': 'https://firstsquawk.com', 'start': 0, 'url': 'https://t.co/YiUNSf4N1t'}]","London, Mumbai, Singapore",,,,
9,2021-09-09T16:44:19.000Z,1436007441020424195,Tone Vats (#EndLockdowns🤡🌍),https://pbs.twimg.com/profile_images/1448327758048858117/hTtrq-Sk_normal.jpg,29,320,0,786,https://t.co/pCTmI7bdCE,ToneVays3sf,"[{'display_url': 'YouTube.com/ToneVays', 'end': 23, 'expanded_url': 'http://YouTube.com/ToneVays', 'start': 0, 'url': 'https://t.co/pCTmI7bdCE'}]",Clown-world,,"[{'end': 51, 'start': 41, 'tag': 'Economics'}, {'end': 60, 'start': 52, 'tag': 'Finance'}, {'end': 72, 'start': 61, 'tag': 'Blockchain'}, {'end': 83, 'start': 75, 'tag': 'Bitcoin'}]","[{'end': 100, 'start': 93, 'username': 'Crypto'}, {'end': 107, 'start': 102, 'username': 'Scam'}, {'end': 124, 'start': 108, 'username': 'unconfiscatable'}, {'end': 140, 'start': 126, 'username': 'understandbit'}, {'end': 153, 'start': 143, 'username': 'Finsummit'}]",
10,2014-06-20T02:28:08.000Z,2577886615,Tone Vays (#EndLockdowns🤡🌎),https://pbs.twimg.com/profile_images/1416821178266787844/T1OkI9ZW_normal.jpg,257603,1084,4446,23412,https://t.co/BVeoaqegVu,ToneVays,"[{'display_url': 'YouTube.com/ToneVays', 'end': 23, 'expanded_url': 'https://YouTube.com/ToneVays', 'start': 0, 'url': 'https://t.co/BVeoaqegVu'}]",Clown-World,1398986376457207813,"[{'end': 51, 'start': 41, 'tag': 'Economics'}, {'end': 61, 'start': 53, 'tag': 'Finance'}, {'end': 74, 'start': 63, 'tag': 'Blockchain'}, {'end': 85, 'start': 77, 'tag': 'Bitcoin'}]","[{'end': 107, 'start': 95, 'username': 'Crypto_Scam'}, {'end': 125, 'start': 109, 'username': 'Unconfiscatable'}, {'end': 141, 'start': 127, 'username': 'understandbit'}, {'end': 154, 'start': 144, 'username': 'FinSummit'}]",
