author_id,created_at,created_at_user,location,name,public_metrics_followers_count,public_metrics_following_count,public_metrics_like_count,public_metrics_listed_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,public_metrics_tweet_count,source,text,tweet_id,username
187896454,2018-12-31T23:59:31.000Z,2010-09-07T12:49:16.000Z,Louisiana,lui toth,39249,42551,2,298,0,0,1,30125,Twitter Web Client,"$BLSP huge volume, closes up 12.5%.  Shares start to thin. Next year runner. $WDBG $MSPC $MYLI $WWIO $NOUV $ONCI $RNVA $NSAV $ACB $SGCP $VAPE $KALY $GTHP  $GGII $AAPL $TSLA $FB $DKSC $GIFX $MSFT $BLPG $RSHN $NNRX $AMZN $AMRN $FUSZ $GTHP $MGTI $BRK.B $COBI $HRI $DNAD $MDIN $MLHC https://t.co/7lLiCJF8gf",1079889823161303047,sprtcrdlui
19593572,2018-12-31T23:58:57.000Z,2009-01-27T14:21:12.000Z,Denver/Colorado/Everywhere,Technoking Tim,25631,26385,0,577,0,0,2,79787,Twitter for iPhone,"RT @Polixenes13: Ross, please just never stop being you. You are a huge danger to $TSLA bears. In the sense that if they start to believe a…",1079889679774871552,TimWJackson
996125781620330500,2018-12-31T23:58:40.000Z,2018-05-14T20:31:08.000Z,"Georgia, USA",TeslaFamily,148,195,2,4,0,0,0,931,Twitter for Android,@kimpaquette I pity the fool that is shorting #tsla right now... https://t.co/QIBYdOaSzj,1079889607515426816,Tesla90801351
407106950,2018-12-31T23:58:31.000Z,2011-11-07T16:59:59.000Z,Scribe to the Sub 👉,"Darin Tuttle, CFA",1110,1845,1,15,0,0,0,12778,Twitter for iPhone,@lhamtil Rationale for 25% AAPL in high quality tech is “Consumer Brand and An Ecosystem” works for me,1079889569930072064,Darin_T80
1048766127168475137,2018-12-31T23:58:30.000Z,2018-10-07T02:45:04.000Z,#bitcoin ,Seeing the Forest,186,411,0,2,0,0,23,2949,Twitter for iPhone,RT @GerberKawasaki: Nothing better on a #NewYears2019 than listening to the whining of Tesla short losers. LOL. F off. $tsla,1079889565337305088,ThruTheTreez
819956834232508416,2018-12-31T23:55:59.000Z,2017-01-13T17:18:38.000Z,,back from reality,12,31,1,2,0,0,0,367,Twitter for iPad,$TSLA passed 190K model 3 VIN registered. Yeah baaaabeee. https://t.co/0HOIOe45er,1079888934291689472,GunGermSteel
16915272,2018-12-31T23:55:33.000Z,2008-10-22T23:29:59.000Z,,ekestler,126,234,0,5,0,0,10,88656,Twitter for iPad,"RT @evannex_com: A look back at the amazing year we had in the #electricvehicle industry lead by #Tesla #ElonMusk and his team, read here:…",1079888824132661249,ekestler
1072443924566822912,2018-12-31T23:55:19.000Z,2018-12-11T10:52:11.000Z,,camelres,113,641,0,6,0,0,34,5642,Twitter for Android,"RT @TeslaCharts: Fraud. Fraud. Fraud. Fraud. 
$TSLA https://t.co/0kKu70Svce",1079888762648346625,camelres1
461768237,2018-12-31T23:54:06.000Z,2012-01-12T05:04:58.000Z,Designed in California,MacHash,1890,3696,0,156,0,0,0,94385,dlvr.it,FCC to suspend most operations this week due to government shutdown https://t.co/NdgLASs8CI $AAPL https://t.co/c38t4fTeRx,1079888458133327873,MacHashNews
819956834232508416,2018-12-31T23:53:31.000Z,2017-01-13T17:18:38.000Z,,back from reality,12,31,0,2,0,0,0,367,Twitter for iPad,"https://t.co/0HOIOe45er

$TSLA news",1079888311374598144,GunGermSteel
24843079,2018-12-31T23:50:05.000Z,2009-03-17T05:04:24.000Z,,"Dan Stringer, SEC Pimp",7509,2107,0,0,0,0,22,117795,Twitter for iPhone,"RT @4Awesometweet: 79% of Electric Vehicle  tax credits 
were claimed by households with AGI 
of more than $100,000.

-WSJ

🤔

#tesla $tsla…",1079887447155040256,Danstringer74
984772257414287362,2018-12-31T23:49:52.000Z,2018-04-13T12:36:17.000Z,Chicago,Shill LeBeau,1189,1485,1,17,0,0,0,19262,Twitter Web Client,"Props to @GerberKawasaki for at least spelling ""losers"" correctly $TSLA https://t.co/EGDcS4KgAf",1079887393568755712,Lebeaucarnew
1077703586673577985,2018-12-31T23:48:36.000Z,2018-12-25T23:12:12.000Z,Nomad,Milkywayy,204,89,0,1,0,0,3,419,Twitter for iPhone,RT @stockmarkettv: Tesla Production Numbers Soar! Tesla Family Investors Applaud Price Target $333 Crooks Squeezed! $TSLA https://t.co/qNvy…,1079887073098780673,TravailleMarcel
26440443,2018-12-31T23:44:18.000Z,2009-03-25T05:42:31.000Z,United States,Shannon Powers,82,225,0,0,0,0,3,2030,Twitter for Android,RT @Hein_The_Sayer: @RationalEtienne @rm_natasha @TradrFloridaFIL @Sofiaan @28delayslater @WadeAndersonPT @TSLA_Tom @ICannot_Enough @TrCCpe…,1079885991739940864,rosepaleblue
