author_id,created_at,created_at_user,location,name,public_metrics_followers_count,public_metrics_following_count,public_metrics_like_count,public_metrics_listed_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,public_metrics_tweet_count,source,text,tweet_id,username,Mentioned_stocks_S&P500,Mentioned_stocks_NYSE,Word_count_Henry08_pos,Word_count_Henry08_neg,Word_count_LM11_pos,Word_count_LM11_neg,Word_count_Hagenau13_pos,Word_count_Hagenau13_neg,News_agencies_names_count
187896454,2018-12-31T23:59:31.000Z,2010-09-07T12:49:16.000Z,Louisiana,lui toth,39249,42551,2,298,0,0,1,30125,Twitter Web Client,"$BLSP huge volume, closes up 12.5%.  Shares start to thin. Next year runner. $WDBG $MSPC $MYLI $WWIO $NOUV $ONCI $RNVA $NSAV $ACB $SGCP $VAPE $KALY $GTHP  $GGII $AAPL $TSLA $FB $DKSC $GIFX $MSFT $BLPG $RSHN $NNRX $AMZN $AMRN $FUSZ $GTHP $MGTI $BRK.B $COBI $HRI $DNAD $MDIN $MLHC https://t.co/7lLiCJF8gf",1079889823161303047,sprtcrdlui,"['MSFT', 'AAPL', 'AMZN', 'FB', 'TSLA', 'BRK.B']",['HRI'],0.0033112582781456954,0.0,0.0,0.0,0.0,0.0,0.0
19593572,2018-12-31T23:58:57.000Z,2009-01-27T14:21:12.000Z,Denver/Colorado/Everywhere,Technoking Tim,25631,26385,0,577,0,0,2,79787,Twitter for iPhone,"RT @Polixenes13: Ross, please just never stop being you. You are a huge danger to $TSLA bears. In the sense that if they start to believe a…",1079889679774871552,TimWJackson,['TSLA'],[],0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0
996125781620330500,2018-12-31T23:58:40.000Z,2018-05-14T20:31:08.000Z,"Georgia, USA",TeslaFamily,148,195,2,4,0,0,0,931,Twitter for Android,@kimpaquette I pity the fool that is shorting #tsla right now... https://t.co/QIBYdOaSzj,1079889607515426816,Tesla90801351,['TSLA'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
819956834232508416,2018-12-31T23:55:59.000Z,2017-01-13T17:18:38.000Z,,back from reality,12,31,1,2,0,0,0,367,Twitter for iPad,$TSLA passed 190K model 3 VIN registered. Yeah baaaabeee. https://t.co/0HOIOe45er,1079888934291689472,GunGermSteel,['TSLA'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1072443924566822912,2018-12-31T23:55:19.000Z,2018-12-11T10:52:11.000Z,,camelres,113,641,0,6,0,0,34,5642,Twitter for Android,"RT @TeslaCharts: Fraud. Fraud. Fraud. Fraud. 
$TSLA https://t.co/0kKu70Svce",1079888762648346625,camelres1,['TSLA'],[],0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0
461768237,2018-12-31T23:54:06.000Z,2012-01-12T05:04:58.000Z,Designed in California,MacHash,1890,3696,0,156,0,0,0,94385,dlvr.it,FCC to suspend most operations this week due to government shutdown https://t.co/NdgLASs8CI $AAPL https://t.co/c38t4fTeRx,1079888458133327873,MacHashNews,['AAPL'],[],0.008264462809917356,0.0,0.0,0.01652892561983471,0.0,0.008264462809917356,0.0
819956834232508416,2018-12-31T23:53:31.000Z,2017-01-13T17:18:38.000Z,,back from reality,12,31,0,2,0,0,0,367,Twitter for iPad,"https://t.co/0HOIOe45er

$TSLA news",1079888311374598144,GunGermSteel,['TSLA'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
984772257414287362,2018-12-31T23:49:52.000Z,2018-04-13T12:36:17.000Z,Chicago,Shill LeBeau,1189,1485,1,17,0,0,0,19262,Twitter Web Client,"Props to @GerberKawasaki for at least spelling ""losers"" correctly $TSLA https://t.co/EGDcS4KgAf",1079887393568755712,Lebeaucarnew,['TSLA'],[],0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0
1077703586673577985,2018-12-31T23:48:36.000Z,2018-12-25T23:12:12.000Z,Nomad,Milkywayy,204,89,0,1,0,0,3,419,Twitter for iPhone,RT @stockmarkettv: Tesla Production Numbers Soar! Tesla Family Investors Applaud Price Target $333 Crooks Squeezed! $TSLA https://t.co/qNvy…,1079887073098780673,TravailleMarcel,['TSLA'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
187896454,2018-12-31T23:43:39.000Z,2010-09-07T12:49:16.000Z,Louisiana,lui toth,39249,42551,2,298,1,0,3,30125,Twitter Web Client,"Bottom Filled on $WDBG Closed up 23% , Ready to move above 52 week High .027 $MSPC $MYLI $WWIO $NOUV $ONCI $RNVA $NSAV $ACB $SGCP $VAPE $KALY $GTHP $BLPG $GGII $AAPL $TSLA $FB $DKSC $GIFX $MSFT $BLPG $RSHN $NNRX $AMZN $AMRN $FUSZ $GTHP $MGTI $BRK.B $COBI $HRI $DNAD $MDIN $MLHC https://t.co/mNif7XfObc",1079885830146215936,sprtcrdlui,"['MSFT', 'AAPL', 'AMZN', 'FB', 'TSLA', 'BRK.B']",['HRI'],0.009966777408637873,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0
1042888795501289472,2018-12-31T23:43:19.000Z,2018-09-20T21:30:39.000Z,,Capvalue89,14,923,0,0,0,0,60,1192,Twitter for iPhone,"RT @ElonBachman: Am I hallucinating? $TSLA just named two Theranos investors to its board.

https://t.co/HkkdDwOspw",1079885743437295617,CapitalOnValue,['TSLA'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
1730405706,2018-12-31T23:41:53.000Z,2013-09-05T01:31:12.000Z,Online,Justin,2664,568,3,56,0,2,0,27026,Twitter for iPhone,Amusingly High quality clip not sure about the noise at the end. $tsla https://t.co/EDm10RJZA4,1079885382500593664,Trumpery45,['TSLA'],[],0.010638297872340425,0.0,0.0,0.0,0.0,0.010638297872340425,0.0
55991139,2018-12-31T23:41:34.000Z,2009-07-12T02:10:03.000Z,"Michigan, USA",Grainman Sachs,3305,452,15,69,1,2,0,40915,Twitter Web App,@GerberKawasaki Congrats on a rockin 3.8% gain for $TSLA in 2018 (which all happened since Friday).,1079885303786209280,GrainSurgeon,['TSLA'],[],0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.0
1058476563690373120,2018-12-31T23:41:23.000Z,2018-11-02T21:50:53.000Z,State of Denial,Reboticon,1765,2068,1,20,0,1,0,29935,Twitter Web Client,"@Gordon_GekkoZ COUGH $TSLA COUGH

Why couldn't I have gotten obsessed with $WATT...",1079885259771138049,Reboticant,['TSLA'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
919523760,2018-12-31T23:40:46.000Z,2012-11-01T17:52:10.000Z,Israel,eliranngr,217,325,0,125,0,0,11,11598,Twitter for iPhone,RT @evannex_com: Does it make sense to pull the trigger on a #TeslaModel3 purchase today? Read here: https://t.co/PvVfwzyFjj $TSLA #TeslaMo…,1079885101901725696,eliranngr,['TSLA'],[],0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0
